"Region","Country","Category","Channel","Year","Quarter","Revenue","Quantity","Profit","Transactions"
"Western Europe","Germany","Electronics","Online",2022,1,137859.861198231,298,11611.4487464271,115
"Western Europe","France","Electronics","Online",2022,1,141033.246394945,1569,31820.5545845745,265
"Southern Europe","Italy","Electronics","Online",2022,1,48274.883707054,1524,5009.46064271289,221
"Southern Europe","Spain","Electronics","Online",2022,1,125838.786714594,1175,30209.0737996945,206
"Northern Europe","United Kingdom","Electronics","Online",2022,1,98948.736442253,1007,17337.1667669218,383
"Western Europe","Netherlands","Electronics","Online",2022,1,81471.1727510439,664,10119.7680147353,279
"Western Europe","Belgium","Electronics","Online",2022,1,112463.834836381,443,9759.49067860594,20
"Western Europe","Switzerland","Electronics","Online",2022,1,26689.990106388,414,4440.9925981266,254
"Western Europe","Austria","Electronics","Online",2022,1,101121.401382261,1499,16624.6988969697,271
"Central Europe","Poland","Electronics","Online",2022,1,107971.731725265,1115,15482.3757076312,450
"Western Europe","Germany","Clothing","Online",2022,1,48485.4687436018,461,8579.29258901847,350
"Western Europe","France","Clothing","Online",2022,1,73315.6639069784,1876,17934.7225681761,127
"Southern Europe","Italy","Clothing","Online",2022,1,93793.8634795137,1161,8807.66776487845,23
"Southern Europe","Spain","Clothing","Online",2022,1,29265.7383123878,1130,5936.62296430095,348
"Northern Europe","United Kingdom","Clothing","Online",2022,1,48917.8181416355,549,10436.5840106206,127
"Western Europe","Netherlands","Clothing","Online",2022,1,94301.3796617743,1634,8145.06892863757,183
"Western Europe","Belgium","Clothing","Online",2022,1,97931.5106966533,1507,11185.1947400239,446
"Western Europe","Switzerland","Clothing","Online",2022,1,16161.2993571907,642,2205.33549192424,447
"Western Europe","Austria","Clothing","Online",2022,1,50124.7227482963,1211,8841.19994688036,34
"Central Europe","Poland","Clothing","Online",2022,1,58231.6108932719,1691,4766.74105786673,80
"Western Europe","Germany","Food & Beverage","Online",2022,1,90882.9817932565,473,8588.56311198161,105
"Western Europe","France","Food & Beverage","Online",2022,1,18177.4659338407,1994,2884.83928691567,327
"Southern Europe","Italy","Food & Beverage","Online",2022,1,98944.7142474819,1480,15483.3968373113,173
"Southern Europe","Spain","Food & Beverage","Online",2022,1,94933.482093038,1265,19848.3442158526,413
"Northern Europe","United Kingdom","Food & Beverage","Online",2022,1,12831.5680194646,190,2920.17262440445,238
"Western Europe","Netherlands","Food & Beverage","Online",2022,1,53850.1195132267,409,6006.4475781944,187
"Western Europe","Belgium","Food & Beverage","Online",2022,1,42069.3293749355,1164,8795.04939354215,127
"Western Europe","Switzerland","Food & Beverage","Online",2022,1,91045.1224364806,677,8828.78376978805,174
"Western Europe","Austria","Food & Beverage","Online",2022,1,47462.1146696154,1750,5580.84915908674,204
"Central Europe","Poland","Food & Beverage","Online",2022,1,84420.404699631,1410,19603.9788495701,211
"Western Europe","Germany","Home & Garden","Online",2022,1,75071.5836882591,682,16263.6974865618,90
"Western Europe","France","Home & Garden","Online",2022,1,82050.2384204883,1546,8898.51776296029,157
"Southern Europe","Italy","Home & Garden","Online",2022,1,41870.2868674882,1722,10359.4836452637,339
"Southern Europe","Spain","Home & Garden","Online",2022,1,70091.1242933944,473,15354.2069110811,70
"Northern Europe","United Kingdom","Home & Garden","Online",2022,1,5375.09218556806,1549,835.098577921269,480
"Western Europe","Netherlands","Home & Garden","Online",2022,1,84127.0276240539,1476,15093.0936766204,92
"Western Europe","Belgium","Home & Garden","Online",2022,1,5696.74395374022,1214,1314.26962913916,382
"Western Europe","Switzerland","Home & Garden","Online",2022,1,24727.6024182793,402,5386.76101850582,205
"Western Europe","Austria","Home & Garden","Online",2022,1,91127.1337408107,1469,18796.9479161433,144
"Central Europe","Poland","Home & Garden","Online",2022,1,63118.971127551,1586,14083.9356511279,286
"Western Europe","Germany","Electronics","Retail",2022,1,61587.1917764889,1623,9184.05436687454,51
"Western Europe","France","Electronics","Retail",2022,1,69597.4508591462,1284,15894.8394343843,196
"Southern Europe","Italy","Electronics","Retail",2022,1,12833.9221829083,1182,3003.86674982211,352
"Southern Europe","Spain","Electronics","Retail",2022,1,146229.437712464,1860,33867.0529824636,359
"Northern Europe","United Kingdom","Electronics","Retail",2022,1,69024.5529671665,86,5619.41236586621,497
"Western Europe","Netherlands","Electronics","Retail",2022,1,143954.665021738,456,26595.1333648242,264
"Western Europe","Belgium","Electronics","Retail",2022,1,134005.074034212,1136,21079.3045942502,165
"Western Europe","Switzerland","Electronics","Retail",2022,1,98696.9746492105,844,17429.0803430879,280
"Western Europe","Austria","Electronics","Retail",2022,1,145862.741976161,976,33971.0246212009,77
"Central Europe","Poland","Electronics","Retail",2022,1,95684.444544604,1607,10415.0005174194,224
"Western Europe","Germany","Clothing","Retail",2022,1,36675.585070625,126,7715.41144667707,128
"Western Europe","France","Clothing","Retail",2022,1,37941.0835797898,1087,3764.52817610383,279
"Southern Europe","Italy","Clothing","Retail",2022,1,42856.114085298,671,9010.3924324281,193
"Southern Europe","Spain","Clothing","Retail",2022,1,79545.8136906382,1127,10066.1024905995,143
"Northern Europe","United Kingdom","Clothing","Retail",2022,1,8698.96665681154,101,2092.21838758424,280
"Western Europe","Netherlands","Clothing","Retail",2022,1,76135.561686242,1373,11863.2273169998,209
"Western Europe","Belgium","Clothing","Retail",2022,1,69341.2988679484,709,11933.9022423655,232
"Western Europe","Switzerland","Clothing","Retail",2022,1,21270.1113871299,569,2286.49993115543,401
"Western Europe","Austria","Clothing","Retail",2022,1,29803.3565632068,1308,5895.67322751934,131
"Central Europe","Poland","Clothing","Retail",2022,1,53869.2287926096,1535,11610.7926888694,39
"Western Europe","Germany","Food & Beverage","Retail",2022,1,69182.6910793316,1203,14632.8116297296,206
"Western Europe","France","Food & Beverage","Retail",2022,1,98367.6338021178,1727,11436.1428785104,149
"Southern Europe","Italy","Food & Beverage","Retail",2022,1,77156.7054174375,1001,8843.14227174508,495
"Southern Europe","Spain","Food & Beverage","Retail",2022,1,58816.4002879057,1551,11037.0112195999,456
"Northern Europe","United Kingdom","Food & Beverage","Retail",2022,1,85720.5232640263,763,17947.4226917943,150
"Western Europe","Netherlands","Food & Beverage","Retail",2022,1,23000.0238632783,499,4999.1570286965,295
"Western Europe","Belgium","Food & Beverage","Retail",2022,1,30772.2283969633,230,6798.10236541513,146
"Western Europe","Switzerland","Food & Beverage","Retail",2022,1,83675.0560975634,795,8380.6471682478,265
"Western Europe","Austria","Food & Beverage","Retail",2022,1,70854.4579369482,1041,9057.2068817988,461
"Central Europe","Poland","Food & Beverage","Retail",2022,1,27851.7502662726,1396,6237.66609213104,141
"Western Europe","Germany","Home & Garden","Retail",2022,1,9083.93562189303,361,894.251446540204,115
"Western Europe","France","Home & Garden","Retail",2022,1,18345.5139410216,531,1522.20875771166,113
"Southern Europe","Italy","Home & Garden","Retail",2022,1,25556.6144303884,1485,3840.66038476813,320
"Southern Europe","Spain","Home & Garden","Retail",2022,1,50542.8635992575,1838,9120.28390501873,82
"Northern Europe","United Kingdom","Home & Garden","Retail",2022,1,23753.982516937,525,3985.29332683008,475
"Western Europe","Netherlands","Home & Garden","Retail",2022,1,73338.8045791071,241,17520.5206483885,150
"Western Europe","Belgium","Home & Garden","Retail",2022,1,5749.05017972924,143,714.532829641529,96
"Western Europe","Switzerland","Home & Garden","Retail",2022,1,40671.5466384776,1275,8167.63620623906,472
"Western Europe","Austria","Home & Garden","Retail",2022,1,53868.7322894111,1034,5849.34518993454,62
"Central Europe","Poland","Home & Garden","Retail",2022,1,5149.20265064575,608,1129.62333592451,124
"Western Europe","Germany","Electronics","Wholesale",2022,1,180757.140715141,1988,37510.3954255854,165
"Western Europe","France","Electronics","Wholesale",2022,1,60002.9843312223,1597,7758.3443595698,22
"Southern Europe","Italy","Electronics","Wholesale",2022,1,117323.067169636,1091,12972.2022466064,399
"Southern Europe","Spain","Electronics","Wholesale",2022,1,199005.085345125,999,36803.9266199723,445
"Northern Europe","United Kingdom","Electronics","Wholesale",2022,1,236109.658351634,1027,43465.7428856634,156
"Western Europe","Netherlands","Electronics","Wholesale",2022,1,175639.349845005,1116,39900.3785912697,216
"Western Europe","Belgium","Electronics","Wholesale",2022,1,81605.468604248,1466,15403.1788114701,57
"Western Europe","Switzerland","Electronics","Wholesale",2022,1,40644.4471597206,174,3886.53920320058,165
"Western Europe","Austria","Electronics","Wholesale",2022,1,39399.4385038968,1401,8961.56445396012,387
"Central Europe","Poland","Electronics","Wholesale",2022,1,101987.235298147,1114,22753.1722730234,348
"Western Europe","Germany","Clothing","Wholesale",2022,1,136811.037787702,1849,22468.9469731003,305
"Western Europe","France","Clothing","Wholesale",2022,1,10045.3903502785,788,939.177240312295,386
"Southern Europe","Italy","Clothing","Wholesale",2022,1,49628.2918192446,441,4152.92451861764,385
"Southern Europe","Spain","Clothing","Wholesale",2022,1,187276.484195609,571,24818.6963696454,425
"Northern Europe","United Kingdom","Clothing","Wholesale",2022,1,185872.502236161,891,37989.6968227827,91
"Western Europe","Netherlands","Clothing","Wholesale",2022,1,149477.917191107,979,37258.6588922608,71
"Western Europe","Belgium","Clothing","Wholesale",2022,1,73283.6768496782,252,11532.2658991339,159
"Western Europe","Switzerland","Clothing","Wholesale",2022,1,107862.032668199,1062,21376.6642607025,197
"Western Europe","Austria","Clothing","Wholesale",2022,1,151355.182800908,155,36414.7929902499,86
"Central Europe","Poland","Clothing","Wholesale",2022,1,127640.25560813,1249,20275.3304573516,381
"Western Europe","Germany","Food & Beverage","Wholesale",2022,1,128986.615459435,709,25816.1886821711,126
"Western Europe","France","Food & Beverage","Wholesale",2022,1,51259.9626649171,1296,11387.1884719615,181
"Southern Europe","Italy","Food & Beverage","Wholesale",2022,1,51147.7890843526,1674,4515.92083481874,283
"Southern Europe","Spain","Food & Beverage","Wholesale",2022,1,83899.5554437861,1787,12469.7573641811,422
"Northern Europe","United Kingdom","Food & Beverage","Wholesale",2022,1,189066.581476945,679,32502.8937914618,323
"Western Europe","Netherlands","Food & Beverage","Wholesale",2022,1,192895.522615872,415,39467.2461991788,290
"Western Europe","Belgium","Food & Beverage","Wholesale",2022,1,150572.503050789,1188,15780.0686044593,123
"Western Europe","Switzerland","Food & Beverage","Wholesale",2022,1,149316.722087096,81,21215.5007433542,420
"Western Europe","Austria","Food & Beverage","Wholesale",2022,1,111794.645099435,661,9323.42686902096,495
"Central Europe","Poland","Food & Beverage","Wholesale",2022,1,10431.8635561503,609,850.963396350455,208
"Western Europe","Germany","Home & Garden","Wholesale",2022,1,125698.115983978,128,27065.3406994798,266
"Western Europe","France","Home & Garden","Wholesale",2022,1,168992.296291981,776,33103.0119284782,432
"Southern Europe","Italy","Home & Garden","Wholesale",2022,1,152789.286912885,1481,12900.969388578,187
"Southern Europe","Spain","Home & Garden","Wholesale",2022,1,96018.9987858757,1418,12652.0645644968,96
"Northern Europe","United Kingdom","Home & Garden","Wholesale",2022,1,111800.098826643,60,26968.183346475,110
"Western Europe","Netherlands","Home & Garden","Wholesale",2022,1,112101.572109386,1412,14363.590891469,286
"Western Europe","Belgium","Home & Garden","Wholesale",2022,1,10262.3602794483,1819,1446.78249562183,494
"Western Europe","Switzerland","Home & Garden","Wholesale",2022,1,77576.5312276781,275,12820.1056567308,119
"Western Europe","Austria","Home & Garden","Wholesale",2022,1,126305.28712878,1974,15801.0551181561,152
"Central Europe","Poland","Home & Garden","Wholesale",2022,1,167499.004804995,68,39320.3107525804,328
"Western Europe","Germany","Electronics","Online",2023,1,58332.8849083045,112,6457.32672165867,104
"Western Europe","France","Electronics","Online",2023,1,66015.505429823,1032,12196.3967109253,299
"Southern Europe","Italy","Electronics","Online",2023,1,89220.315599232,1692,7864.30182233211,497
"Southern Europe","Spain","Electronics","Online",2023,1,91529.158258927,1447,19771.0199402893,380
"Northern Europe","United Kingdom","Electronics","Online",2023,1,110051.164160832,1955,21181.6132015844,191
"Western Europe","Netherlands","Electronics","Online",2023,1,63783.658943139,1893,13076.218276959,304
"Western Europe","Belgium","Electronics","Online",2023,1,138486.559902085,176,12103.2140959062,180
"Western Europe","Switzerland","Electronics","Online",2023,1,144666.266834247,1900,24865.0334260334,113
"Western Europe","Austria","Electronics","Online",2023,1,40777.1023880923,1308,7598.77063594652,88
"Central Europe","Poland","Electronics","Online",2023,1,110740.907998988,347,22958.5614530001,49
"Western Europe","Germany","Clothing","Online",2023,1,90845.2798880171,1777,9577.00713397123,114
"Western Europe","France","Clothing","Online",2023,1,62330.0380515866,950,9701.6194284986,58
"Southern Europe","Italy","Clothing","Online",2023,1,64993.1933963671,1182,12925.8202905387,421
"Southern Europe","Spain","Clothing","Online",2023,1,94051.6557171941,1499,9215.35283208281,253
"Northern Europe","United Kingdom","Clothing","Online",2023,1,85795.8613149822,66,18122.1534957549,454
"Western Europe","Netherlands","Clothing","Online",2023,1,60082.9854106996,491,11302.2283213809,334
"Western Europe","Belgium","Clothing","Online",2023,1,83033.3727714606,616,15003.4266852831,207
"Western Europe","Switzerland","Clothing","Online",2023,1,15803.2678638119,532,1294.80445166064,282
"Western Europe","Austria","Clothing","Online",2023,1,77628.2370730769,159,6474.15091384929,183
"Central Europe","Poland","Clothing","Online",2023,1,64243.2784335688,1531,6908.88862647235,25
"Western Europe","Germany","Food & Beverage","Online",2023,1,19102.4276369717,809,1750.0526841034,449
"Western Europe","France","Food & Beverage","Online",2023,1,12625.1243252773,1165,2032.1940331595,490
"Southern Europe","Italy","Food & Beverage","Online",2023,1,49086.6073756479,531,12131.6244912782,257
"Southern Europe","Spain","Food & Beverage","Online",2023,1,79039.9753383826,199,12183.5411484382,488
"Northern Europe","United Kingdom","Food & Beverage","Online",2023,1,74685.1561579388,1323,18011.6649019543,222
"Western Europe","Netherlands","Food & Beverage","Online",2023,1,82636.8922181427,1776,11346.7739303192,306
"Western Europe","Belgium","Food & Beverage","Online",2023,1,21165.4357193038,1142,3464.67504932603,126
"Western Europe","Switzerland","Food & Beverage","Online",2023,1,94748.4309249558,265,21086.8906406827,354
"Western Europe","Austria","Food & Beverage","Online",2023,1,32894.2649299279,765,7250.81732864648,240
"Central Europe","Poland","Food & Beverage","Online",2023,1,19161.8449823,1472,1996.80645039497,398
"Western Europe","Germany","Home & Garden","Online",2023,1,73340.9661718179,1355,7306.73536951351,251
"Western Europe","France","Home & Garden","Online",2023,1,35788.1654857192,407,2890.30414623635,151
"Southern Europe","Italy","Home & Garden","Online",2023,1,78986.9023603387,978,16272.169959338,32
"Southern Europe","Spain","Home & Garden","Online",2023,1,42471.8951724935,1421,9047.12446973004,56
"Northern Europe","United Kingdom","Home & Garden","Online",2023,1,69466.3224520627,1736,8074.38780034953,234
"Western Europe","Netherlands","Home & Garden","Online",2023,1,78703.3790606074,1694,13226.7323152408,37
"Western Europe","Belgium","Home & Garden","Online",2023,1,22847.5591819733,346,2572.41351135688,63
"Western Europe","Switzerland","Home & Garden","Online",2023,1,7763.15279654227,383,1223.91268154808,237
"Western Europe","Austria","Home & Garden","Online",2023,1,17892.8107209504,1085,3033.17388944748,358
"Central Europe","Poland","Home & Garden","Online",2023,1,69615.596922813,1219,9685.52555496296,237
"Western Europe","Germany","Electronics","Retail",2023,1,140712.270912481,1592,28994.9331942754,358
"Western Europe","France","Electronics","Retail",2023,1,85945.4070223728,1345,7544.82866702031,189
"Southern Europe","Italy","Electronics","Retail",2023,1,93251.6885484802,957,11972.4823301229,261
"Southern Europe","Spain","Electronics","Retail",2023,1,35571.714558173,1501,3875.99669298745,436
"Northern Europe","United Kingdom","Electronics","Retail",2023,1,83771.2170055602,1591,10618.8741885531,193
"Western Europe","Netherlands","Electronics","Retail",2023,1,33086.6928468458,1220,6550.88509881296,439
"Western Europe","Belgium","Electronics","Retail",2023,1,71893.8254535897,291,16112.6120401006,18
"Western Europe","Switzerland","Electronics","Retail",2023,1,52680.1026292378,883,8759.43860006879,109
"Western Europe","Austria","Electronics","Retail",2023,1,24054.8905322794,889,5823.72651212136,276
"Central Europe","Poland","Electronics","Retail",2023,1,34019.5573383244,1865,3172.44747787489,324
"Western Europe","Germany","Clothing","Retail",2023,1,74324.3591813371,1862,12549.1431838438,106
"Western Europe","France","Clothing","Retail",2023,1,44127.8467653319,1994,8970.01553722022,63
"Southern Europe","Italy","Clothing","Retail",2023,1,44334.7197654657,736,4302.72557698004,55
"Southern Europe","Spain","Clothing","Retail",2023,1,50629.462255165,333,10799.7789633141,324
"Northern Europe","United Kingdom","Clothing","Retail",2023,1,45611.9742325973,611,7137.98083879225,441
"Western Europe","Netherlands","Clothing","Retail",2023,1,17966.5842128452,351,2800.93066551268,144
"Western Europe","Belgium","Clothing","Retail",2023,1,83344.5436041802,906,17012.2018648119,304
"Western Europe","Switzerland","Clothing","Retail",2023,1,61268.9030414913,1042,10041.281660136,50
"Western Europe","Austria","Clothing","Retail",2023,1,80467.7128756884,1711,7904.5554516233,290
"Central Europe","Poland","Clothing","Retail",2023,1,78058.0804427154,55,18460.9342627672,462
"Western Europe","Germany","Food & Beverage","Retail",2023,1,92215.3596393764,516,11142.7818883536,341
"Western Europe","France","Food & Beverage","Retail",2023,1,86949.8288200703,1749,16615.9588016667,94
"Southern Europe","Italy","Food & Beverage","Retail",2023,1,35112.6475911587,1606,8087.29755415353,417
"Southern Europe","Spain","Food & Beverage","Retail",2023,1,29629.7547186259,946,6847.0351517862,300
"Northern Europe","United Kingdom","Food & Beverage","Retail",2023,1,75515.3129342943,750,18564.7204031563,331
"Western Europe","Netherlands","Food & Beverage","Retail",2023,1,75999.3060969282,944,12307.623294825,117
"Western Europe","Belgium","Food & Beverage","Retail",2023,1,92200.8832322899,50,8883.608841479,179
"Western Europe","Switzerland","Food & Beverage","Retail",2023,1,80353.1648742501,306,19138.8504182134,151
"Western Europe","Austria","Food & Beverage","Retail",2023,1,17666.3137343712,576,2363.35497159101,251
"Central Europe","Poland","Food & Beverage","Retail",2023,1,32336.2264561001,1803,5169.6574420622,309
"Western Europe","Germany","Home & Garden","Retail",2023,1,23494.2336624954,716,4100.42927557496,388
"Western Europe","France","Home & Garden","Retail",2023,1,79490.3913524467,1706,17448.6338396536,279
"Southern Europe","Italy","Home & Garden","Retail",2023,1,17242.8553644568,451,3243.32912972416,271
"Southern Europe","Spain","Home & Garden","Retail",2023,1,17263.4819347877,1900,2452.66022249384,220
"Northern Europe","United Kingdom","Home & Garden","Retail",2023,1,11864.0455720015,399,1917.47474040742,392
"Western Europe","Netherlands","Home & Garden","Retail",2023,1,10047.3009306006,380,1044.17300352024,301
"Western Europe","Belgium","Home & Garden","Retail",2023,1,55528.0714598484,82,6691.63543483442,344
"Western Europe","Switzerland","Home & Garden","Retail",2023,1,15669.2829576787,1551,3495.73184231975,184
"Western Europe","Austria","Home & Garden","Retail",2023,1,75602.8333737049,1531,16491.0693827289,57
"Central Europe","Poland","Home & Garden","Retail",2023,1,74474.9703421257,1445,18481.5276028958,356
"Western Europe","Germany","Electronics","Wholesale",2023,1,267258.540809853,282,54521.6565571204,451
"Western Europe","France","Electronics","Wholesale",2023,1,162376.650832593,534,23265.9611868398,288
"Southern Europe","Italy","Electronics","Wholesale",2023,1,257800.330723403,1263,42991.9112521978,461
"Southern Europe","Spain","Electronics","Wholesale",2023,1,141196.936456254,1431,33596.5254268604,339
"Northern Europe","United Kingdom","Electronics","Wholesale",2023,1,59995.8286201581,988,10699.6601602158,352
"Western Europe","Netherlands","Electronics","Wholesale",2023,1,141062.522067223,278,21029.8592577784,164
"Western Europe","Belgium","Electronics","Wholesale",2023,1,290804.095161147,1271,33739.3208161489,163
"Western Europe","Switzerland","Electronics","Wholesale",2023,1,153107.55989165,449,33647.1050602906,64
"Western Europe","Austria","Electronics","Wholesale",2023,1,86950.6552407984,1129,14223.5996203426,122
"Central Europe","Poland","Electronics","Wholesale",2023,1,89011.6443531588,1437,9561.48757535685,150
"Western Europe","Germany","Clothing","Wholesale",2023,1,112983.02876763,1755,22673.6223463556,356
"Western Europe","France","Clothing","Wholesale",2023,1,133476.409146097,569,24487.6248191203,67
"Southern Europe","Italy","Clothing","Wholesale",2023,1,73919.6351380087,1961,7300.30755096316,11
"Southern Europe","Spain","Clothing","Wholesale",2023,1,21580.4517944343,1901,2542.84373874434,390
"Northern Europe","United Kingdom","Clothing","Wholesale",2023,1,95749.0615407005,1753,16556.6804899889,392
"Western Europe","Netherlands","Clothing","Wholesale",2023,1,169363.456354477,1574,16087.6411560261,213
"Western Europe","Belgium","Clothing","Wholesale",2023,1,119181.093522348,216,12149.3147330422,233
"Western Europe","Switzerland","Clothing","Wholesale",2023,1,77136.5717076696,1503,15924.1954502397,160
"Western Europe","Austria","Clothing","Wholesale",2023,1,114010.954864789,1952,26235.8868162991,199
"Central Europe","Poland","Clothing","Wholesale",2023,1,179616.53282633,352,43263.2689159261,268
"Western Europe","Germany","Food & Beverage","Wholesale",2023,1,103098.208410665,1596,12753.7688794436,50
"Western Europe","France","Food & Beverage","Wholesale",2023,1,42610.1015019231,795,4967.65693010504,72
"Southern Europe","Italy","Food & Beverage","Wholesale",2023,1,113175.888862461,868,13064.1656098061,270
"Southern Europe","Spain","Food & Beverage","Wholesale",2023,1,192678.862218745,1251,21584.8231675506,211
"Northern Europe","United Kingdom","Food & Beverage","Wholesale",2023,1,69599.9261899851,192,7914.16715407633,486
"Western Europe","Netherlands","Food & Beverage","Wholesale",2023,1,165897.764139809,1040,17269.3866074649,133
"Western Europe","Belgium","Food & Beverage","Wholesale",2023,1,68340.3360843658,288,13546.8464821724,480
"Western Europe","Switzerland","Food & Beverage","Wholesale",2023,1,45236.1804200336,132,6106.08585009874,223
"Western Europe","Austria","Food & Beverage","Wholesale",2023,1,19185.8875821345,1061,2776.43141478553,130
"Central Europe","Poland","Food & Beverage","Wholesale",2023,1,56678.0879814178,648,11733.5474727545,233
"Western Europe","Germany","Home & Garden","Wholesale",2023,1,76710.3152070194,168,9803.74026457035,339
"Western Europe","France","Home & Garden","Wholesale",2023,1,40214.2525347881,1610,8425.38879520934,341
"Southern Europe","Italy","Home & Garden","Wholesale",2023,1,67778.6193904467,564,6263.70031379626,368
"Southern Europe","Spain","Home & Garden","Wholesale",2023,1,13334.1817068867,909,2587.9926294418,48
"Northern Europe","United Kingdom","Home & Garden","Wholesale",2023,1,199345.009052195,1499,47097.6295762997,489
"Western Europe","Netherlands","Home & Garden","Wholesale",2023,1,162834.729405586,1345,34514.8382623969,482
"Western Europe","Belgium","Home & Garden","Wholesale",2023,1,26450.3143331967,1350,5445.60374076305,299
"Western Europe","Switzerland","Home & Garden","Wholesale",2023,1,175287.321240176,1822,23546.0570035603,217
"Western Europe","Austria","Home & Garden","Wholesale",2023,1,115371.314040385,1100,21673.5109323465,330
"Central Europe","Poland","Home & Garden","Wholesale",2023,1,90061.9001477025,1744,13810.519459437,456
"Western Europe","Germany","Electronics","Online",2024,1,17138.2467204239,291,2340.02165286304,285
"Western Europe","France","Electronics","Online",2024,1,87504.9088045489,1490,18192.9155941102,476
"Southern Europe","Italy","Electronics","Online",2024,1,17577.8699334478,875,1468.44127807853,434
"Southern Europe","Spain","Electronics","Online",2024,1,37623.3512861654,1786,5498.7562043158,290
"Northern Europe","United Kingdom","Electronics","Online",2024,1,85820.9089172306,156,11283.1734513772,275
"Western Europe","Netherlands","Electronics","Online",2024,1,76182.3563918006,1814,8271.90567073264,337
"Western Europe","Belgium","Electronics","Online",2024,1,30224.4542737026,1055,5579.49060476317,24
"Western Europe","Switzerland","Electronics","Online",2024,1,28815.0067976676,1676,2717.44139215742,417
"Western Europe","Austria","Electronics","Online",2024,1,78646.3854537578,1748,9184.39642584634,468
"Central Europe","Poland","Electronics","Online",2024,1,141530.495122424,374,35298.600748255,58
"Western Europe","Germany","Clothing","Online",2024,1,36751.9760259893,1613,3726.67388693306,428
"Western Europe","France","Clothing","Online",2024,1,22901.2613103259,1276,2005.70813971854,399
"Southern Europe","Italy","Clothing","Online",2024,1,30623.0369384866,1631,7129.19910074814,253
"Southern Europe","Spain","Clothing","Online",2024,1,55420.687419828,1505,9254.58843063402,37
"Northern Europe","United Kingdom","Clothing","Online",2024,1,7037.77170972899,559,623.998787044793,302
"Western Europe","Netherlands","Clothing","Online",2024,1,80882.2292112745,1238,19855.6707179275,412
"Western Europe","Belgium","Clothing","Online",2024,1,15481.8345198873,505,1654.51067975858,73
"Western Europe","Switzerland","Clothing","Online",2024,1,56280.8371521533,855,12145.6317942507,341
"Western Europe","Austria","Clothing","Online",2024,1,59267.2202596441,1990,6308.37117053969,131
"Central Europe","Poland","Clothing","Online",2024,1,63800.39696116,1205,9729.64851747432,213
"Western Europe","Germany","Food & Beverage","Online",2024,1,72911.1008823384,1974,8212.52781801646,379
"Western Europe","France","Food & Beverage","Online",2024,1,16713.5549744125,1417,3334.7973399094,40
"Southern Europe","Italy","Food & Beverage","Online",2024,1,34549.7137820348,1131,7466.9095190566,134
"Southern Europe","Spain","Food & Beverage","Online",2024,1,94845.2204489149,189,23112.5647512207,448
"Northern Europe","United Kingdom","Food & Beverage","Online",2024,1,52502.3837771732,547,4628.74296731398,301
"Western Europe","Netherlands","Food & Beverage","Online",2024,1,17846.8974132556,536,3172.89161331436,11
"Western Europe","Belgium","Food & Beverage","Online",2024,1,87579.4929510448,1613,13270.7309454695,471
"Western Europe","Switzerland","Food & Beverage","Online",2024,1,24479.7131489031,286,3142.95585483655,234
"Western Europe","Austria","Food & Beverage","Online",2024,1,92879.3596418109,1648,12880.4763633244,498
"Central Europe","Poland","Food & Beverage","Online",2024,1,89241.5918316692,475,21198.8790420469,187
"Western Europe","Germany","Home & Garden","Online",2024,1,17948.1033980846,1322,4204.41450523449,340
"Western Europe","France","Home & Garden","Online",2024,1,79608.197005,673,19485.0601627564,282
"Southern Europe","Italy","Home & Garden","Online",2024,1,48063.8243455905,1109,10375.1326173153,106
"Southern Europe","Spain","Home & Garden","Online",2024,1,17895.5298429355,1203,1925.7672161143,468
"Northern Europe","United Kingdom","Home & Garden","Online",2024,1,89095.9985007066,1198,11267.3563884903,440
"Western Europe","Netherlands","Home & Garden","Online",2024,1,36987.7863128204,61,7762.08231713214,422
"Western Europe","Belgium","Home & Garden","Online",2024,1,35331.0409386177,1758,7770.81139974215,299
"Western Europe","Switzerland","Home & Garden","Online",2024,1,43359.3674004078,1330,7533.60154420794,309
"Western Europe","Austria","Home & Garden","Online",2024,1,50512.3441689648,1773,5284.97661202071,41
"Central Europe","Poland","Home & Garden","Online",2024,1,39950.672921259,352,8347.8231786354,23
"Western Europe","Germany","Electronics","Retail",2024,1,73860.9058863949,549,6998.38322553885,344
"Western Europe","France","Electronics","Retail",2024,1,14609.6317871707,1149,2909.29934654317,426
"Southern Europe","Italy","Electronics","Retail",2024,1,34198.3314027311,416,7555.03343596135,300
"Southern Europe","Spain","Electronics","Retail",2024,1,147528.966453974,1697,24137.0512991681,287
"Northern Europe","United Kingdom","Electronics","Retail",2024,1,54279.0549161145,1424,9395.37465969365,187
"Western Europe","Netherlands","Electronics","Retail",2024,1,31866.9856485212,290,6175.74645276416,238
